id	category	verdict	confidence	mismatch	qtyDiffers	reason	asin	rakuten_url	amazon_title	rakuten_title
151	diapers	KEEP	high	NONE		Both images show the identical Combi ポイテック W防臭 diaper pail in cotton white with grey lid, cassette included. Titles and descriptions confirm same model, brand, and configuration.	B0BCJRP7XS	https://item.rakuten.co.jp/cieldeneige/clef98b637e0/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049	Combi コンビ 【ベビー/ペット/介護に】ポイテック W防臭 紙おむつ処理ポット 強力密閉抗菌 コットンホワイト カセット1個付 (※旧型ポイテックカセット使用不可)	コンビ 紙おむつ処理ポット 強力密閉抗菌 ポイテック W防臭 コットンホワイト カセット1個付 (ポイテック W防臭/ポイテック アドバンス用カ
152	diapers	KEEP	high	NONE	Y	Same product: Merries エアスルー パンツ M (6–11kg). Amazon is a single pack (~58 sheets per title, 52 per image label), Rakuten is a 3-bag set (52×3=156 sheets). Underlying unit is identical; only the bundle count differs.	B00187O62M	https://item.rakuten.co.jp/natural-living/u940041/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049	【パンツ タイプ】メリーズパンツ Mサイズ(6~11kg) さらさらエアスルー 58枚	メリーズ エアスルー パンツ Mサイズ 156枚 52枚×3袋 パンツタイプ 花王 Merries 紙おむつ 紙オムツ さらさらエアスルー 送料無料
153	diapers	KEEP	high	NONE	Y	Same product: Unicharm トレパンマン Blue L 34枚 (9–14kg). Amazon is a single pack; Rakuten is an 8-pack bundle of the identical item (単品8個セット). Images confirm the same packaging.	B0BW97FJZJ	https://item.rakuten.co.jp/rcmd/ho-42529-008/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049	【トレーニング専用パンツ Lサイズ】トレパンマン 男の子 オムツ(9~14kg)34枚	【単品8個セット】トレパンマンブルーL34枚 ユニ・チャーム(代引不可)【送料無料】
159	unknown	KEEP	high	NONE		Both listings are generic no-brand cloth diaper liners (成形布おむつ), 10-pack, 46×17cm + 32×12cm, 6-layer cotton. Images show visually identical white quilted pads with matching size and count. Titles and descriptions are effectively identical.	B0FX8W5G8H	https://item.rakuten.co.jp/shop-diamante/gwgw1826853/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049	成形布おむつ 10枚セット 綿 32×12cm 46×17cm 6層 赤ちゃん用 おむつライナー 布オムツ 新生児 洗える 通気性 肌にやさしい 吸収性 エコ育児 再利用可能 新生児 ベビー用品 保育園 入園準備	おむつライナー 成形布おむつ 46×17cm 6層生地 32x12cm 10枚セット エコ 布おむつ 肌に優しい 布オム 赤ちゃん用 おむつライナー 洗える 吸収性抜群 繰り返し使える 経済的 成形布おむつ 送料無料 おむつパッド コンパクトおむつ
160	diapers	KEEP	high	NONE	Y	Same product: GOO.N スイミングパンツ M 12枚 男女共用 with Disney Mickey/Minnie aloha design. Amazon is a single pack; Rakuten title states ×6 set (6個セット) but image shows the same single-pack unit. Underlying product identity is identical.	B08WMP4KCX	https://item.rakuten.co.jp/yoikenkou/4902011860566-6/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049	【パンツ Mサイズ】グーンスイミングパンツ 12枚 男女共用	【送料込・まとめ買い×6個セット】大王製紙 グーン スイミング パンツ 男女共用 Mサイズ 12枚
164	diapers	KEEP	high	NONE		Both images show identical GOO.N swimming pants, M size (6-12kg), boy's whale design, 3-pack. Titles are word-for-word identical. Same brand, line, type, size, and count.	B003DSGQN6	https://item.rakuten.co.jp/tsjahop/10023548/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049	【パンツ Mサイズ】グーン スイミングパンツ (7~12kg) 男の子用 3枚	【パンツ Mサイズ】グーン スイミングパンツ (7~12kg) 男の子用 3枚
166	diapers	KEEP	high	NONE	Y	Both are ムーニーマン マシュマロ肌ごこち パンツ M 52枚 (6-12kg). The Rakuten listing is a 19-unit bundle of the same 52-sheet pack; Rakuten image shows a limited animal-design package of the same underlying product. Same brand, line, type, and size — only bundle count differs.	B0BLC5JC91	https://item.rakuten.co.jp/rcmdse/ho-41187-019/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049	ムーニーマン パンツ M たっち 52枚入 500-152360-00	【単品19個セット】ムーニーマンMたっち52枚 ユニ・チャーム(代引不可)【送料無料】
168	diapers	KEEP	high	NONE	Y	Both are メリーズ エアスルー テープ 新生児用 (up to 5000g). Amazon has 82枚, Rakuten has 68枚. No Rakuten image available, but title and description confirm same brand/line/type/size. Count differs only.	B0D6R36JFW	https://item.rakuten.co.jp/tokka-com/4901301437693/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049	花王 メリーズ エアスルーテープ 新生児用5000gまで 82枚入り	メリーズ エアスルー テープ 新生児用5000gまで(68枚)[代引不可]
172	diapers	KEEP	high	NONE	Y	Both are ムーニー オヤスミマン 女の子 夜用パンツ スーパービッグ (18-35kg). Amazon is 1 pack (12枚), Rakuten is a 6-pack bundle (72枚). Images confirm identical packaging and product; only bundle count differs.	B0BZSM7PLC	https://item.rakuten.co.jp/silvercosme/225552-225132-case/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049	【パンツ スーパービッグサイズ】 オヤスミマン 女の子 夜用パンツ オムツ(18~35kg)12枚	【6個セットパンツ スーパービッグサイズ】 オヤスミマン 女の子 夜用パンツ オムツ(18~35kg)72枚(12枚×6)朝まで漏れない 小学生 おねしょ対策 夜用パンツ 夜漏れ対策 パンツタイプ 夜用おむつ まとめ買い※沖縄・離島にお届けをご希望のお客様は一度ご相談下さい。
180	diapers	KEEP	high	NONE		Both are Moony エアフィット テープ L 54枚 9~14kg by Unicharm. The Amazon image shows an older package generation of the same エアフィット line (confirmed by title); both Rakuten and Amazon titles explicitly say エアフィット. Same brand, line, type, size, and count.	B001FOQZYU	https://item.rakuten.co.jp/shopdeclinic/hj-69961/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049	【テープ Lサイズ】ムーニーエアフィット オムツ (9~14kg)54枚	【ユニ・チャーム】ムーニーエアフィット L54枚 不可
