product_id,category,mismatch,confidence,reason,asin,amazon_url,rakuten_url,amazon_title,rakuten_title
210,diapers,LINE,high,"Amazon is ムーニーマン エアフィット (blue packaging with エアフィット branding, Winnie the Pooh design). Rakuten is standard ムーニーマン (different sub-line with 大きめフィット設計/ピタッとギャザー, no エアフィット branding). These are distinct product lines within the ムーニーマン range despite matching gender (女の子), size (L 9-14kg), and count (44枚).",B07Q34GM61,https://www.amazon.co.jp/dp/B07Q34GM61,"https://item.rakuten.co.jp/scbmitsuokun1972/4903111206438/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","ユニ・チャーム ムーニーマン エアフィット 女の子 L 44枚","【y】 ムーニーマン エアフィット パンツ 女の子用 Lサイズ 体重9〜14kg (44枚入) 紙おむつ"
263,diapers,LINE,high,"Amazon is Pampers さらさらケア パンツ XXL (ビッグより大きい, 15-28kg); Rakuten is Pampers 超吸収エアリー パンツ XL (ビッグ, 12-22kg). Different product lines and different size ranges confirmed by images.",B0CCDC7BLX,https://www.amazon.co.jp/dp/B0CCDC7BLX,"https://item.rakuten.co.jp/rcmdva/ho-19076-005/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【パンツ ビッグより大きいサイズ】パンパース オムツ さらさらケア (15~28kg) 36枚","【単品5個セット】 パンパース 超吸収エアリー P&G 36枚(代引不可)【送料無料】"
363,diapers,LINE,high,"Amazon image shows Moony マシュマロ肌ごこち (new line, cloud design) テープ 新生児 64枚 in a 3-pack bundle; Rakuten image shows Moony エアフィット (older distinct line) テープ 新生児 64枚 single pack. Different product lines within the Moony brand.",B01N1PKISE,https://www.amazon.co.jp/dp/B01N1PKISE,"https://item.rakuten.co.jp/kusurinofukutaro/10100456/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","ユニチャーム ムーニー エアフィット お誕生～3000g 新生児用 テープタイプ 64枚【3個セット】","ユニチャーム ムーニー エアフィット 新生児用 お誕生-3000g (64枚)"
372,diapers,SIZE,high,"Amazon is Merries さらさらエアスルー パンツ L 56枚 (9-14kg); Rakuten is Merries パンツ L 44枚 (9-14kg). The count difference (56 vs 44) is not a simple bundle multiple — these are different standard pack sizes indicating different SKUs or product generations. The packaging visually differs (older 'さらさらエアスルー' 56-count box vs newer '14時間吸収 モレ0へ' 44-count bag), confirming they are distinct SKUs.",B004OR2EHC,https://www.amazon.co.jp/dp/B004OR2EHC,"https://item.rakuten.co.jp/onesmart/4901301425874/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【パンツ Lサイズ】メリーズさらさらエアスルー (9~14kg)56枚","メリーズ エアスルー パンツ Lサイズ(44枚)[代引不可]"
451,wipes,LINE,high,"Amazon image/title is Moony マシュマロ肌ごこち (a specific named line with distinct blue/star packaging). Rakuten image shows the standard Moony テープ line with different packaging ('ゆるうんちストッパーでモレ0へ' tagline, no マシュマロ肌ごこち branding). Both are Moony テープ S 70枚, but they are different product lines — not the same SKU.",B0BL3BG2RV,https://www.amazon.co.jp/dp/B0BL3BG2RV,"https://item.rakuten.co.jp/ulmaxjapan2/ha-4903111138302_3/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【テープ Sサイズ】 ムーニー マシュマロ肌ごこち モレ安心 オムツ（4~8kg）70枚","【3個セット】 ムーニーS70枚 タイプ パンツタイプ テープタイプ オムツ 紙おむつ 赤ちゃん 排泄関連 ムーニー テープ パンツ ベビーおむつ おしりふき ベビーケア ユニチャーム"
463,diapers,SIZE,high,"Both are ムーニー 水あそびパンツ M 3枚 for girls, but the weight/size range differs: Amazon is 7–10kg (Ariel design) while Rakuten is 6–12kg (Pikachu design). Different size specifications mean these are distinct product variants not interchangeable for shoppers.",B0015MUYL2,https://www.amazon.co.jp/dp/B0015MUYL2,"https://item.rakuten.co.jp/rcmd/ho-42620-011/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【水遊びパンツ Mサイズ】ムーニー水あそびパンツ 女の子 (7~10kg)3枚","【単品11個セット】 ユニ・チャーム ムーニー水あそびパンツピンクM3枚(代引不可)【送料無料】"
504,diapers,LINE,high,"Amazon image/title shows Merries さらさらエアスルー パンツ L 44枚 (older generation with colorful dots packaging). Rakuten image/title shows Merries ずっと肌さらエアスルー パンツ L 44枚 (newer generation with bubble/heart packaging). Same brand, size, and count, but different named product lines.",B00187KHWK,https://www.amazon.co.jp/dp/B00187KHWK,"https://item.rakuten.co.jp/saikatu/4901301425874/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【パンツ Lサイズ】メリーズさらさらエアスルー (9~14kg)44枚","メリーズパンツ ずっと肌さらエアスルー Lサイズ(9~14kg) 44枚入"
540,diapers,TYPE,high,"Amazon image shows GOO.N まっさらさら通気 パンツ L 56枚 specifically labeled 女の子用 (girls-only variant, pink/blue packaging). Rakuten image shows GOO.N まっさらさら通気 パンツ L 56枚 男女共用 (unisex, Mickey/Minnie Disney packaging). Gender-specific vs unisex diapers are different SKUs with different absorbency construction.",B07FFH5NHR,https://www.amazon.co.jp/dp/B07FFH5NHR,"https://item.rakuten.co.jp/leaf-land/4902011842920-10/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","大王製紙 グーン パンツ まっさらさら通気 Lサイズ 女の子 56枚入 E521647H","【10個セット！】【★】グーン まっさらさら通気 パンツ Lサイズ(56枚入)【大王製紙】【X】"
561,diapers,BRAND,high,"Amazon image clearly shows MamyPoko Swimming Pants (Blue, L, 3pcs, Pikachu design), while Rakuten image shows Moony 水あそびパンツ (Blue, L, 3枚, Pikachu design). Although both are Unicharm, MamyPoko and Moony are distinct sub-brands with different product lines; a shopper would not consider these the same product.",B0B5VC4S48,https://www.amazon.co.jp/dp/B0B5VC4S48,"https://item.rakuten.co.jp/rcmd/ho-42635-005/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","ユニ・チャーム ムーニー水あそびパンツブルーL 3枚","【単品5個セット】 ユニ・チャーム ムーニー水あそびパンツブルーL3枚(代引不可)【送料無料】"
588,diapers,LINE,high,"Amazon image shows Merries 素肌さらさらエアスルー Big XL 138枚 (46枚×3) in a SMILE & SMILE Miffy box. Rakuten image shows Merries ずっと肌さらエアスルー Big XL 46枚 single soft-pack (newer generation line name). The line names differ — 素肌さらさらエアスルー vs ずっと肌さらエアスルー — indicating different product generations. Count also differs (138枚 vs 46枚).",B0FNCKFYNR,https://www.amazon.co.jp/dp/B0FNCKFYNR,"https://item.rakuten.co.jp/ladydrug/4901301442963/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","メリーズ パンツ 素肌さらさらエアスルー ビッグ XL 12-22kg 138枚 46枚x3パック 67492 ずっと肌さらエアスルー紙おむつ 赤ちゃん 箱入り 大容量 花王","メリーズ エアスルーパンツ ビッグサイズ 46枚×3個※取り寄せ商品 返品不可"
